MODEL,CreatedDate
TUCSON 1.6 TURBO HYBRID (S/R),08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),10/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),11/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),11/08/2023
IONIQ 6 ELECTRIC AWD,12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
IONIQ 6 ELECTRIC AWD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
